DATA,TOTAL,PRODUCAO M.O.,PRODUCAO INTERNA,CORTE,CORTE VOIL,BAINHA CONTINUA,BARRADO,EMENDA,OVERLOQUE,PALETEIRA,ACABAMENTO,FURO,ILHOS,DOBRA,EMBALAGEM,MÊS
03/08/2024,297.78,0.0,297.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.64,54.14,AGOSTO
05/08/2024,5221.110000000001,181.1,5040.01,285.19,368.04,214.04,985.09,0.0,78.98,460.5,624.93,454.95,678.83,727.74,161.72,AGOSTO
07/08/2024,5021.68,177.14,4844.54,297.31,422.98,96.4,1008.72,64.74,0.0,550.01,545.36,480.67,663.68,584.73,129.94,AGOSTO
08/08/2024,4953.4800000000005,151.01,4802.47,85.57,333.3,218.72,741.33,0.0,0.0,583.32,516.06,513.41,846.32,777.06,187.38,AGOSTO
09/08/2024,4664.1900000000005,22.3,4641.89,132.71,575.66,208.67,880.57,17.66,0.0,386.96,644.03,421.27,739.95,519.06,115.35,AGOSTO
10/08/2024,445.38,0.0,445.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.4,80.98,AGOSTO
12/08/2024,5614.89,45.84,5569.05,238.87,669.67,135.33,992.8,0.0,17.66,672.54,656.38,416.3,771.29,816.72,181.49,AGOSTO
13/08/2024,6438.39,195.38,6243.01,336.21,572.52,194.96,1016.75,158.9,0.0,650.35,844.54,385.5,905.11,963.96,214.21,AGOSTO
14/08/2024,5757.26,273.06,5484.2,204.64,622.87,260.68,879.4,29.43,5.3,695.7,604.7,478.92,674.92,753.16,274.48,AGOSTO
15/08/2024,5408.08,173.9,5234.18,220.37,637.12,175.08,949.96,0.0,0.0,540.79,682.58,468.96,645.85,683.25,230.22,AGOSTO
16/08/2024,5592.75,0.0,5592.75,229.69,704.16,302.37,1013.34,0.0,21.89,454.44,562.61,0.0,214.6,1709.71,379.94,AGOSTO
17/08/2024,423.37,0.0,423.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.39,76.98,AGOSTO
19/08/2024,6634.54,169.06,6465.48,875.45,1064.51,207.0,965.02,58.85,0.0,622.28,617.34,414.97,629.02,826.25,184.79,AGOSTO
20/08/2024,4646.77,0.0,4646.77,195.85,544.5,409.2,576.02,29.43,7.77,649.08,721.73,438.73,423.46,293.43,357.57,AGOSTO
21/08/2024,5364.400000000001,194.97,5169.43,74.15,926.85,231.72,725.09,88.28,0.0,559.49,901.76,480.32,711.79,384.53,85.45,AGOSTO
